CPT code,String
54120,AMPUTATION PENIS PARTIAL
42890,LIMITED PHARYNGECTOMY
45113,PRCTECT PRTL W/MUCOSEC ILEOANAL ANAST RSVR
45123,PRCTECT PRTL W/O ANAST PRNL APPR
24145,PARTIAL EXCISION BONE RADIAL HEAD/NECK
25151,PARTIAL EXCISION BONE RADIUS
25230,RADICAL STYLOIDECTOMY SEPARATE PROCEDURE
45111,PRCTECT PRTL RESCJ RECTUM TABDL APPR
45114,PRCTECT PRTL W/ANAST ABDL & TRANSSAC APPROACH
45116,PRCTECT PRTL W/ANAST TRANSSAC APPR ONLY
30150,RHINECTOMY PARTIAL
21600,EXCISION RIB PARTIAL
21610,COSTOTRANSVERSECTOMY SEPARATE PROCEDURE
23190,OSTECTOMY SCAPULA PARTIAL
21620,OSTECTOMY STERNUM PARTIAL
60220,TOTAL THYROID LOBECTOMY UNI W/WO ISTHMUSECTOMY
60225,TOTAL THYROID LOBEC UNI W/CONTRALAT STOT LOBEC
27640,PARTIAL EXCISION BONE TIBIA
28124,PARTICAL EXCISION BONE PHALANX TOE
28126,RESECTION PARTIAL/COMPLETE PHALANGEAL BASE EACH
28153,RESECTION CONDYLE DISTAL END PHALANX EACH TOE
28160,HEMIPHALANGECTOMY/INTERPHALANGEAL JOINT EXC TOE
41120,GLOSSECTOMY <ONE-HALF TONGUE
41130,GLOSSECTOMY HEMIGLOSSECTOMY
25119,SYNVCT XTNSR TDN SHTH WRST 1 RESCJ DSTL ULNA
25150,PARTIAL EXCISION BONE ULNA
25240,EXCISION DISTAL ULNA PARTIAL/COMPLETE
56620,VULVECTOMY SIMPLE PARTIAL
95052,PHOTO PATCH TEST SPECIFY NUMBER TSTS
88399,UNLISTED SURGICAL PATHOLOGY PROCEDURE
17360,CHEMICAL EXFOLIATION ACNE
27158,OSTEOTOMY PELVIS BILATERAL
27098,TRANSFER ADDUCTOR ISCHIUM
51597,PELVIC EXENTERATION COMPLETE MALIGNANCY
54360,PLASTIC RPR PENIS CORRECT ANGULATION
54230,INJECTION CORPORA CAVERNOSOGRAPY
54125,AMPUTATION PENIS COMPLETE
54440,PLASTIC OPERATION PENIS INJURY
54380,PLASTIC RPR PENIS EPISPADIAS DSTL SPHNCTR
54385,PLASTIC PENIS EPISPADIAS DSTL SPHNCTR W/INCONT
54300,PENIS STRAIGHTENING CHORDEE
54304,PENIS CORRJ CHORDEE/1ST STAGE HYPOSPADIAS RPR
54420,CORPORA CAVERNOSA-SAPHENOUS VEIN SHUNT UNI/BI
54430,CORPORA CAVERNOSA-CORPUS SPONGIOSUM SHUNT UNI/BI
54435,CORPORA CAVERNOSA-GLANS PENIS FSTLJ PRIAPISM
54240,PENILE PLETHYSMOGRAPHY
54250,NOCTURNAL PENILE TUMESCENCE &/RIGIDITY TEST
93980,DUP-SCAN ARTL INFL&VEN O/F PEN VSL COMPL
93981,DUP-SCAN ARTL INFL&VEN O/F PEN VSL F-UP/LMTD STD
97750,PHYSICAL PERFORMANCE TEST/MEAS W/REPRT EA 15 MIN
56810,PERINEOPLASTY RPR PERINEUM NONOBSTETRICAL SPX
57210,COLPOPERINEORRHAPHY SUTURE INJ VAGINA&/PERINEU
42892,RESCJ LAT PHRNGL WALL/PYRIFORM SINUS DIR CLSR
42894,RESCJ PHRNGL WALL CLSR W/FLP OR FLP W/MVASC ANAS
36522,PHOTOPHERESIS EXTRACORPOREAL
95056,PHOTO TESTS
97039,UNLIST MODALITY SPEC TYPE&TIME CONSTANT ATTEND
99360,PHYS STANDBY SVC PROLNG PHYS ATTN EA 30 MINUTES
99082,UNUSUAL TRAVEL
77261,THERAPEUTIC RADIOLOGY TX PLANNING SIMPLE
77262,THERAPEUTIC RADIOLOGY TX PLANNING INTERMEDIATE
77263,THERAPEUTIC RADIOLOGY TX PLANNING COMPLEX
77299,UNLIS PX THER RADIOL CLINICAL TX PLANNING
78191,PLATELET SURVIVAL STUDY
32442,REMOVAL LUNG PNEUMONECTOMY RESXN SGMNT TRACHEA
32960,PNEUMOTHORAX THER INTRAPLEURAL INJECTION AIR
30110,EXCISION NASAL POLYP SIMPLE
30115,EXCISION NASAL POLYP EXTENSIVE
45333,SIGMOIDOSCOPY FLX W/RMVL TUMOR BY HOT BX FORCEPS
84106,PORPHOBILINOGEN URINE QUALITATIVE
84119,PORPHYRINS URINE QUALITATAIVE
92548,COMPUTERIZED DYNAMIC POSTUROGRAPY
53240,MARSUPIALIZATION URTL DIVERTICULUM MALE/FEMALE
81025,URINE PREGNANCY TEST VISUAL COLOR CMPRSN METHS
90889,PREP REPORT PT PSYCH STATUS AGENCY/PAYER
54000,SLITTING PREPUCE DORSAL/LATERAL SPX NEWBORN
54001,SLITTING PREPUCE DORSAL/LAT SPX XCP NEWBORN
54450,FORESKN MANJ W/LSS PREPUTIAL ADS&STRETCHING
15931,EXCISION SACRAL PRESSURE ULCER W/PRIMARY SUTURE
15933,EXC SACRAL PRESSURE ULC W/PRIM SUTR W/OSTECTOMY
15934,EXCISION SACRAL PRESSURE ULCER W/SKIN FLAP CLSR
15935,EXC SACRAL PR ULCER W/SKN FLAP CLSR W/OSTECTOMY
15936,EXC SAC PR ULC PREPJ MUSC/MYOQ FLAP/SKN GRF CLSR
15937,EXC SAC PR ULC PREPJ MUSC/MYOQ FLAP/SKN GRF OSTC
15950,EXC TROCHANTERIC PRESSURE ULCER W/PRIMARY SUTR
15951,EXC TRCHNTRIC PR ULCER W/PRIM SUTR W/OSTECTOMY
15952,EXC TROCHANTERIC PR ULCER W/SKIN FLAP CLOSURE
15953,EXC TRCHNTRIC PR ULC W/SKN FLAP CLSR W/OSTECTOMY
15956,EXC TROCHANTERIC PR ULCER MUSC/MYOQ FLAP/SKIN
15958,EXC TRCHNTRIC PR ULC MUSC/MYOQ FLAP/SKIN W/OSTC
15999,UNLISTED PROCEDURE EXCISION PRESSURE ULCER
99429,UNLISTED PREVENTIVE MEDICINE SERVICE
94799,UNLISTED PULMONARY SERVICE/PROCEDURE
76499,UNLISTED DIAGNOSTIC RADIOGRAPHIC PROCEDURE
45999,UNLISTED PROCEDURE RECTUM
42699,UNLISTED PX SALIVARY GLANDS/DUCTS
23929,UNLISTED PROCEDURE SHOULDER
31299,UNLISTED PROCEDURE ACCESSORY SINUSES
17999,UNLISTED PX SKIN MUC MEMBRANE & SUBQ TISSUE
22899,UNLISTED PROCEDURE SPINE
43999,UNLISTED PROCEDURE STOMACH
42999,UNLISTED PROCEDURE PHARYNX ADENOIDS/TONSILS
53899,UNLISTED PROCEDURE URINARY SYSTEM
37799,UNLISTED PROCEDURE VASCULAR SURGERY
81099,UNLISTED URINALYSIS PROCEDURE
86999,UNLISTED TRANSFUSION MEDICINE PROCEDURE
45900,RDCTJ PROCIDENTIA UNDER ANES SEPARATE PROCEDURE
45520,PERIRECTAL INJ SCLEROSING SOLUTION PROLAPSE
52630,TRURL RESCJ RESIDUAL/REGROWTH OBSTR PRSTATE TISS
55801,PROSTATECTOMY PERINEAL SUBTOTAL
55821,PROSTATECTOMY SUPRAPUBIC SUBTOTAL 1/2 STAGES
55831,PROSTATECTOMY RETROPUBIC SUBTOTAL
52601,TRURL ELECTROSURG RESCJ PROSTATE BLEED COMPLETE
53852,TRURL DSTRJ PRSTATE TISS RF THERMOTH
25250,REMOVAL WRIST PROSTHESIS SEPARATE PROCEDURE
25251,REMOVAL WRIST PROSTH COMPLICATED W/TOTAL WRIST
31611,CONSTJ TRACHEOESOPHGL FSTL&INSJ SP PROSTH
85611,PROTHROMBIN TIME SUBSTITUTION PLASMA FRCTJ EACH
85612,RUSSELL VIPER VENON TIME UNDILUTED
84203,PROTOPORPHYRIN RBC SCREEN
90899,UNLISTED PSYCHIATRIC SERVICE/PROCEDURE
90875,INDIV PSYCHOPHYS BIOFEED TRAIN W/PSYTX 30 MIN
90876,INDIV PSYCHOPHYS BIOFEED TRAIN W/PSYTX 45 MIN
33924,LIG&TKDN SYSIC-TO-PULM ART SHUNT W/CGEN HEART
33470,VALVOTOMY PULMONARY VALVE CLSD HEART TRANSVENTR
33474,VALVOTOMY PULMONARY VALVE OPEN HEART W/BYPASS
92990,PRQ BALLOON VALVULOPLASTY PULMONARY VALVE
99190,ASSEMBLY&OPERJ PUMP OXYGENATOR/HEAT EXCH EA HR
99191,ASSEMBLY&OPERJ PUMP OXYGENATOR/HEAT EXCH 45 MI
99192,ASSEMBLY&OPERJ PUMP OXYGENATOR/HEAT EXCH 30 MI
43800,PYLOROPLASTY
43640,VGTMY W/PYLORPLSTY W/WO GASTROST TRUNCAL/SLCTV
43641,VGTMY W/PYLOROPLASTY W/WO GASTROST PARIETAL CELL
77799,UNLISTED PROCEDURE CLINICAL BRACHYTHERAPY
77470,SPECIAL TREATMENT PROCEDURE
77432,STERETCTC RADIATION TX MANAGEMENT CRANIAL LESION
25337,RCNSTJ STABLJ DSTL U/DSTL JT 2 SOFT TISS STABLJ
25490,PROPH TX N/P/PLTWR W/WO METHYLACRYLATE RADIUS
25492,PROPH TX N/P/PLTWR W/WO METHYLMECRYLATE RAD&UL
25415,RPR NONUNION/MALUNION RADIUS&ULNA W/O AUTOGRAF
25365,OSTEOTOMY RADIUS & ULNA
25375,MLT OSTEOTOMIES W/RELIGNMT IMED ROD RADIUS&ULNA
25350,OSTEOTOMY RADIUS DISTAL THIRD
25355,OSTEOTOMY RADIUS MIDDLE/PROXIMAL THIRD
25392,OSTEOPLASTY RADIUS & ULNA SHORTENING
26437,REALIGNMENT EXTENSOR TENDON HAND EACH TENDON
31780,EXCISION TRACHEAL STENOSIS&ANASTOMOSIS CERVICA
31781,EXC TRACHEAL STENOSIS&ANAST CERVICOTHORACIC
30400,RHINP PRIM LAT&ALAR CRTLGS&/ELVTN NASAL TI
30410,RHINP PRIM COMPLETE XTRNL PARTS
30420,RHINOPLASTY PRIMARY W/MAJOR SEPTAL REPAIR
21740,REPAIR PECTUS EXCAVATUM/CARINATUM OPEN
42950,PHARYNGOPLASTY PLSTC/RCNSTV OPRATION PHARYNX
53410,URETHROPLASTY 1 STG RECNST MALE ANTERIOR URETHRA
53415,URTP TRANSPUBIC/PRNL 1 STG RCNSTJ/RPR URT
53430,URETHROPLASTY RCNSTJ FEMALE URETHRA
54308,URETHROPLASTY 2ND STAGE HYPOSPADIAS RPR <3 CM
54312,URETHROPLASTY 2ND STAGE HYPOSPADIAS RPR > 3 CM
54316,URETHROPLASTY 2ND STAGE HYPOSPADIAS RPR SKIN GRF
54318,URETHROPLASTY 3RD STG HYPOSPADIAS RPR RLS PENIS
54322,1 STG DSTL HYPOSPADIAS RPR W/SMPL MEATAL ADVMNT
54324,1 STG DSTL HYPOSPADIAS RPR W/URTP SKIN FLAPS
54326,1 STG DSTL HYPOSPADIAS RPR URTP SKN FLAPS
31766,CARINAL RECONSTRUCTION
45110,PRCTECT COMPL CMBN ABDOMINOPRNL W/CLST
45112,PRCTECT CMBN ABDOMINOPRNL PULL-THRU PX
45120,PRCTECT COMPL W/PULL-THRU PX & ANASTOMOSIS
57250,POST COLPORRHAPHY RECTOCELE W/WO PERINEORRHAPHY
54600,RDCTJ TORSION TSTIS W/WO FIXJ CLAT TESTIS
51792,STIMULUS EVOKED RESPONSE
78740,URETERAL REFLUX STUDY RP VOIDING CYSTOGRAM
27495,PROPH TX N/P/PLTWR W/WO METHYLMETHACRYLATE FEMUR
27745,PROPH TX N/P/PLTWR W/WO METHYLMETHACRYLATE TIBIA
25491,PROPH TX N/P/PLTWR W/WO METHYLMETHACRYLATE ULNA
50725,URTROLSS RETROCAVAL URTR W/REANAST
61550,CRANIECTOMY CRANIOSYNOSTOSIS 1 CRANIAL SUTURE
61552,CRANIECT CRANIOSYNOSTOSIS MULT CRANIAL SUTURES
50715,URETEROLYSIS W/WORPSG URETER RETROPERIT FIBROSIS
50722,URETEROLYSIS FOR OVARIAN VEIN SYNDROME
50940,DELIGATION URETER
69424,VENTILATING TUBE RMVL REQUIRING GENERAL ANES
30160,RHINECTOMY TOTAL
21615,EXCISION 1ST &/CERVICAL RIB
32900,RESECTION RIBS EXTRAPLEURAL ALL STAGES
68520,EXCISION LACRIMAL SAC
42330,SIALOT SUBMNDBLR SUBLNGL/PRTD UNCOMP INTRAORAL
42335,SIALOLITHOTOMY SUBMNDBLR SUBMAX COMP INTRAORAL
42340,SIALOLITHOTOMY PRTD XTRORAL/COMP INTRAORAL
55150,RESECTION SCROTUM
49429,RMVL PERITONEAL-VENOUS SHUNT
63746,RMVL ENTIRE LUMBOSARACH SHUNT SYS W/O RPLCMT
15829,RHYTIDECTOMY SMAS FLAP
43620,GSTRCT TOT W/ESOPHAGOENTEROSTOMY
43621,GSTRCT TOT W/ROUX-EN-Y RCNSTJ
43622,GSTRCT TOT W/FRMJ INTSTINAL POUCH ANY TYPE
50610,URTROLITHOTOMY UPPER ONE-THIRD URETER
50620,URTROLITHOTOMY MIDDLE ONE-THIRD URETER
50630,URTROLITHOTOMY LOWER ONE-THIRD URETER
51060,TRANSVESICAL URETROLITHOTOMY
54520,ORCHIECTOMY SIMPLE SCROTAL/INGUINAL APPROACH
54530,ORCHIECTOMY RADICAL TUMOR INGUINAL APPROACH
60240,THYROIDECTOMY TOTAL/COMPLETE
60252,THYROIDECTOMY TOTAL/SUBTOTAL LMTD NECK DISSECT
60270,THYROIDECT W/SUBSTERNAL SPLIT/TRANSTHORACIC
60271,THYROIDECTOMY SUBSTERNAL CERVICAL APPROACH
28150,PHALANGECTOMY TOE EACH TOE
41140,GLSSC COMPL/TOT W/WOTRACHS W/O RAD NECK DSJ
42825,TONSILLECTOMY PRIMARY/SECONDARY <AGE 12
42826,TONSILLECTOMY PRIMARY/SECONDARY AGE 12/>
50650,URETRECECTOMY W/BLADDER CUFF SEPARATE PROCEDURE
50660,URETERECTOMY TOT ECTOPIC URETER CMBN APPR
53210,URETHRECTOMY TOT W/CYSTOST FEMALE
53215,URETHRECTOMY TOT W/CYSTOST MALE
38115,RPR RPTD SPLEEN SPLENORRHAPHY W/WO PRTL SPLENECT
24342,RINSJ RPTD BICEPS/TRICEPS TDN DSTL W/WO TDN GRF
58520,HYSTERORRHAPHY REPAIR RUPT UTERUS NONOBSTETRICAL
28345,RCNSTJ TOE SYNDACTYLY W/WO SKIN GRAFT EACH WEB
21750,CLOSE MEDIAN STERNOTOMY SEP W/WO DEBRIDEMENT SPX
23420,RECONSTRUCTION ROTATOR CUFF AVULSION CHRONIC
33617,RPR COMPLEX CARDIAC ANOMALY MODIFIED FONTAN PX
33619,RPR 1 VNTRC W/O/F OBSTRCJ&AORTIC ARCH HYPOPLAS
41874,ALVEOLOPLASTY EACH QUADRANT SPECIFY
43501,GASTROTOMY W/SUTURE REPAIR BLEEDING ULCER
43502,GASTROTOMY W/SUTR RPR PRE-ESOPG/GASTRIC LAC
27470,RPR NON/MAL FEMUR DSTL H/N W/O GRF
42900,SUTURE PHARYNX WOUND/INJURY
27720,REPAIR NONUNION/MALUNION TIBIA W/O GRAFT
59350,HYSTERORRHAPHY RUPTURED UTERUS
56800,PLASTIC REPAIR INTROITUS
57200,COLPORRHAPHY SUTURE INJURY VAGINA
57335,VAGINOPLASTY INTERSEX STATE
31750,TRACHEOPLASTY CERVICAL
31755,TRACHEOPLASTY TRACHEOPHARYNGEAL FSTLJ EA STG
31760,TRACHEOPLASTY INTRATHORACIC
60260,THYROIDECTOMY RMVL REMAINING TISS FLWG PRTL RMVL
33465,REPLACEMENT TRICUSPID VALVE W/CARD BYPASS
25446,ARTHRP W/PROSTC RPLCMT DSTL RDS&PRTL/CARPUS
80414,CHORNC GONAD STIMJ PANEL TSTOSTERONE RESPONSE
67141,PROPH RTA DTCHMNT W/O DRG 1/> SESS CRTX DTHRM
67145,PROPH RTA DTCHMNT W/O DRG 1/> SESS
84482,TRIIODOTHYRONINE T3 REVERSE
31830,REVISION TRACHEOSTOMY SCAR
26490,OPPONENSPLASTY SUPFCIS TDN TR TYP EA TDN
26496,OPPONENSPLASTY OTHER METHODS
50727,REVJ URINARY-CUTANEOUS ANASTAMOSIS
50728,REVJ UR-CUTAN ANAST RPR FSCAL DFCT & HERNIA
30120,EXCISION/SURGICAL PLANING SKIN NOSE RHINOPHYMA
30430,RHINOPLASTY SECONDARY MINOR REVISION
30435,RHINOPLASTY SECONDARY INTERMEDIATE REVISION
30450,RHINOPLASTY SECONDARY MAJOR REVISION
30460,RHINP DFRM W/COLUM LNGTH TIP ONLY
30462,RHINP DFRM COLUM LNGTH TIP SEPTUM OSTEOT
55175,SCROTOPLASTY SIMPLE
55180,SCROTOPLASTY COMPLICATED
63744,RPLCMT IRRIGATION/REVJ LUMBOSARACH SHUNT
54660,INSJ TESTICULAR PROSTH SEPARATE PROCEDURE
28312,OSTEOT SHRT CORRJ OTH PHALANGES ANY TOE
51820,CSTOURTP W/UNI/BI URTRONEOCSTOST
33460,VALVECTOMY TRICUSPID VALVE W/CARDIOPULMONARY BYP
33468,TRICUSPID VALVE RPSG&PLCTJ EBSTEIN ANOMALY
25360,OSTEOTOMY ULNA
50700,URETEROPLASTY PLASTIC OPERATION URETER
53450,URETHROMEATOPLASTY W/MUCOSAL ADVANCEMENT
53460,URETHROMEATOPLASTY W/PRTL EXC DSTL URTL SGM
57220,PLASTIC URETHRAL SPHINCTER VAGINAL APPROACH
58540,HYSTEROPLASTY RPR UTERINE ANOMALY
92546,SINUSOIDAL VERTICAL AXIS ROTATIONAL TESTING
54340,RPR HYPOSPADIAS COMPLCTJS CLSR INC/EXC SIMPLE
54344,RPR HYPOSPADIAS COMPLCTJS MOBLJ FLAPS & URTP
54348,RPR HYPOSPADIAS COMPLCTJS DSJ & URTP FLAP/GRF
32484,RMVL LUNG OTHER THAN PNEUMONECT 1 SEGMENTECTOMY
92576,SYNTHETIC SENTENCE IDENTIFICATION TEST
26477,SHORTENING TENDON EXTENSOR HAND/FINGER EACH
29240,STRAPPING SHOULDER
31051,SINUSOT SPHENOID W/MUCOSAL STRIPPING/RMVL POLYP
50860,URETEROSTOMY TRANSPLANTATION URETER SKIN
95925,SHORT-LATENCY SOMATOSENS EP STD UPR LIMBS
95926,SHORT-LATENCY SOMATOSENS EP STD LWR LIMBS
95927,SHORT-LATENCY SOMATOSENS EP STD TRNK/HEAD
84311,SPECTROPHOTOMETRY ANALYT NOT ELSEWHERE SPECIFIED
58323,SPERM WASHING ARTIFICIAL INSEMINATION
50770,TRANSURETEROURETEROSTOMY ANAST URETER CLAT URTR
29550,STRAPPING TOES
93975,DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN COM
93976,DUP-SCAN ARTL FLO ABDL/PEL/SCROT&/RPR ORGN LMT
93978,DUP-SCAN AORTA IVC ILIAC VASCL/BPGS COMPLETE
93979,DUP-SCAN AORTA IVC ILIAC VASCL/BPGS UNI/LMTD
54620,FIXATION CONTRALATERAL TESTIS SEPARATE PROCEDURE
54640,ORCHIOPEXY INGUINAL APPROACH W/WO HERNIA RPR
58400,UTERINE SUSPENSION W/WO SHORTENING LIGAMENTS SPX
58410,UTERINE SUSP W/WO SHORT LIGAMNTS W/SYMPATHECTOMY
57280,COLPOPEXY ABDOMINAL APPROACH
27396,TRANSPLANT/TRANSFER THIGH XTNSR TO FLXR 1 TENDON
27397,TRANSPLANT/TRANSFER THIGH XTNSR TO FLXR MULT TDN
26510,CROSS INTRINSIC TRANSFER EACH TENDON
84620,XYLOSE ABSORPTION TEST BLOOD &/URINE
84578,ASSAY OF UROBILINOGEN URINE QUALITATIVE
97035,APPL MODALITY 1/> AREAS ULTRASOUND EA 15 MIN
97022,APPLICATION MODALITY 1/> AREAS WHIRLPOOL
61791,CREATE LES STRTCTC PRQ NEUROLYTIC TRIGEMINAL TRC
34510,VENOUS VALVE TRANSPOSITION ANY VEIN DONOR
96902,MCRSCP XM HAIR PLUCK/CLIP FOR CNTS/STRUCT ABNORM
92567,TYMPANOMETRY
31615,TRACHEOBRNCHSC THRU EST TRACHS INC
82726,VERY LONG CHAIN FATTY ACIDS
82657,NZYM ACTIV BLD CELLS/TISS NONRADACT SUBSTRATE EA
44955,APPENDEC INDICATED PURPOSE OTH MAJOR PX NOT SPX
74301,CHOLANGIO&/PANCREATOGRAPHY ADDL SET INTRAOP RS
47550,BILIARY NDSC INTRAOPERATIVE
63082,VERTEBRAL CORPECTOMY DCMPRN CERVICAL EA SEG
63086,VERTEBRAL CORPECTOMY DCMPRN CORD THORACIC EA SEG
63088,VCRPEC THORACOLMBR DCMPRN LWR THRC/LMBR EA SEG
63091,VCRPEC TRANSPRTL/RPR DCMPRN THRC LMBR/SAC EA SEG
63103,VCRPEC LAT XTRCAVITARY DCMPRN THRC/LMBR EA SEG
63308,VERTEBRAL CORPECTOMY EXC INDRL LES EACH SEG
19001,PUNCTURE ASPIRATION BREAST EACH ADDITIONAL CYST
93325,DOP ECHOCARD COLOR FLOW VELOCITY MAPPING
63057,TRANSPEDICULAR DCMPRN 1 SEG EA THORACIC/LUMBAR
63066,COSTOVERTEBRAL DCMPRN SPINE CORD THORACIC EA SEG
64778,EXCISION NEUROMA DIGITAL NRV EA ADDL DIGIT
63035,LAMNOTMY W/DCMPRSN NRV EACH ADDL CRVCL/LMBR
67331,STRABISMUS PREVIOUS EYE X INVOLVE EO MUSC
67332,STRABISMUS SCARRING EO MUSC/RSTCV MYOPATHY
67340,STRABISMUS EXPL&/RPR DETACHED EXTROCULAR MUSC
67320,TRANSPOSITION PROCEDURE EXTRAOCULAR MUSC
78496,CARD BL POOL GATED 1 STDY REST RT VENT EJCT FRCT
15221,FTH/GFT FR W/DIR CLSR S/A/L EA ADDL 20 CM/<
15241,FTH/GT FR W/DIR CLSR F/C/C/M/N/AX/G/H/F EA20CM/<
15261,FTH/GFT FREE W/DIR CLSR N/E/E/L EA 20 SQ CM/<
64901,NERVE GRAFT EACH NERVE 1 STRAND
64902,NERVE GRAFT EACH NERVE MULTIPLE STRANDS
97546,WORK HARDENING/CONDITIONING EACH HOUR
63048,LAM FACETECTOMY&FORAMTOMY 1 SGM EA CRV THRC/LMBR
58611,LIG/TRNSXJ FALOPIAN TUBE CESAREAN DEL/ABDML SURG
64783,EXC NEUROMA HAND/FOOT EA NRV XCP SM DGT
69990,MICROSURG TQS REQ USE OPERATING MICROSCOPE
64832,SUTR DIGITAL NRV HAND/FOOT EA DGTAL NRV
64837,SUTURE EACH ADDITIONAL NERVE HAND/FOOT
64874,SUTURE NERVE REQ XTNSV MOBIL/TRPOS NERVE
11201,REMOVAL SK TGS MLT FIBRQ TAGS ANY AREA EA 10
90287,BOTULINUM ANTITOXIN EQUINE ANY ROUTE
90296,DIPHTHERIA ANTITOXIN EQUINE ANY ROUTE
36833,REVJ OPN ARVEN FSTL W/THRMBC DIAL GRF
76977,US BONE DENSITY MEAS & INTERP PERIPH ANY METHO
31623,BRNCHSC BRUSHING/PROTECTED BRUSHINGS
31624,BRNCHSC W/BRNCL ALVEOLAR LAVAGE
31622,BRNCHSC INCL FLUOR GDNCE DX W/CELL WASHG SPX
61120,BURR HOLE VENTRICULAR PUNCTURE
35500,HARVEST UXTR VEIN 1 SGM LOWER EXTREMITY/CABG PX
36860,XTRNL CANNULA DECLTNG SPX W/O BALO CATH
88240,CRYOPRSRV FRZING&STORAGE CELLS EA CELL LINE
88241,THAWING&EXPANSION FROZEN CELLS EACH ALIQUOT
83021,HEMOGLOBIN FRACTJ/QUANTJ CHROMOTOGRAPHY
27347,EXCISION LESION MENISCUS/CAPSULE KNEE
88291,CYTOGENETICS&MOLEC CYTOGENETICS INTERP&REP
61105,TWIST DRILL HOLE SUBDURAL/VENTRICULAR PUNCTURE
83020,HEMOGLOBIN FRACTJ/QUANTJ ELECTROPHORESIS
29848,NDSC WRST SURG W/RLS TRANSVRS CARPL LIGM
45126,PELVIC EXENTERATION COLORECTAL MALIGNANCY
93571,IV DOP VEL&/OR PRESS C/FLO RSRV MEAS 1ST VSL
93572,IV DOP VEL&/OR PRESS C/FLO RSRV MEAS ADDL VSL
90399,UNLISTED IMMUNE GLOBULIN
15050,PINCH GRAFT 1/MLT SM ULCER TIP/OTH AREA 2CM
32997,TOTAL LUNG LAVAGE UNILATERAL
78020,THYROID CARCINOMA METASTASES UPTAKE
84379,SUGARS MONO DI&OLIGOS MLT QUANTITATIVE EA SPEC
64859,SUTURE EACH ADDITIONAL PERIPHERAL NERVE
57109,VAGNC PRTL RMVL VAG WALL W/BI TOT PEL LMPHADEC
94014,PT-INITIATE SPIROMETRIC RECORDING PHYS/QHP R&I
94015,PATIENT-INITIATED SPIROMETRIC RECORDING
94016,PATIENT-INITIATED SPIROMETRIC PHYS/QHP R&I ONLY
90749,UNLISTED VACCINE/TOXOID
86710,ANTIBODY INFLUENZA VIRUS
84425,ASSAY OF THIAMINE-VITAMIN B-1
78267,UREA BREATH TEST C-14 ISOTOPIC ACQUISJ ANALYSIS
84143,17-HYDROXYPREGNENOLONE
83586,ASSAY OF KETOSTEROIDS 17- TOTAL
84252,ASSAY OF RIBOFLAVIN-VITAMIN B-2
82232,BETA-2 MICROGLOBULIN
83497,ASSAY OF HYDROXYINDOLACETIC ACID 5-HIAA
84207,ASSAY OF PYRIDOXAL PHOSPHATE
84590,ASSAY OF VITAMIN A
37607,LIG/BANDING ANGIOACCESS ARTERIOVENOUS FISTULA
86727,ANTIBODY LYMPHOCYTIC CHORIOMENINGITIS
50541,LAPAROSCOPY SURG ABLATION RENAL CYSTS
59866,MULTIFETAL PREGNANCY REDUCTION
82725,FATTY ACIDS NONESTERIFIED
84550,ASSAY OF BLOOD/URIC ACID
83605,ASSAY OF LACTATE
84275,ASSAY OF SIALIC ACID
84560,ASSAY OF URIC ACID OTHER SOURCE
10040,ACNE SURGERY
82024,ADRENOCORTICOTROPIC HORMONE ACTH
84442,ASSAY OF THYROXINE BINDING GLOBULIN
80074,ACUTE HEPATITIS PANEL
78456,ACUTE VENOUS THROMBOSIS IMAGING PEPTIDE
32501,RESCJ&BRONCHOPLASTY PFRMD TM LOBEC/SGMECTOMY
11001,DBRDMT EXTNSVE ECZEMA/INFECT SKN EA 10% BDY SURF
22328,OPTX&/RDCTJ VRT FX&/DISLC PST 1 VRT SGM EA
64480,NJX ANES&/STRD W/IMG TFRML EDRL CRV/THRC EA LV
64484,NJX ANES&/STRD W/IMG TFRML EDRL LMBR/SAC EA LV
32124,THORACOTOMY OPN INTRAPLEURAL PNEUMONOLYSIS
90471,IM ADM PRQ ID SUBQ/IM NJXS 1 VACCINE
82030,ADENOSINE 5-MONOPHOSPHATE CYCLIC
60650,LAPAROSCOPY ADRENALECTOMY PRTL/COMPL TABDL
59160,CURETTAGE POSTPARTUM
82040,ALBUMIN SERUM PLASMA/WHOLE BLOOD
82088,ASSAY OF ALDOSTERONE
48554,TRANSPLANTATION PANCREATIC ALLOGRAFT
82108,ASSAY OF ALUMINUM
93271,XTRNL PT ACTIVATED ECG REC DWNLD 30 DAYS
82160,ANDROSTERONE
00872,ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH
00873,ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH
46742,RPR HI IMPRF ANUS W/FSTL TABDL & SACROPRNL
28445,OPEN TREATMENT TALUS FRACTURE
46744,RPR CLOACAL ANOMALY SACROPERINEAL
46746,RPR CLOACAL ANOMALY CMBN ABDL&SACROPRNL
46748,RPR CLOACAL ANOMALY CMBN ABDL & SACROPRNL W/GRF
86706,HEPATITIS B SURF ANTIBODY HBSAB
86609,ANTIBODY BACTERIUM NOT ELSEWHERE SPECIFIED
86612,ANTIBODY BLASTOMYCES
86622,ANTIBODY BRUCELLA
86625,ANTIBODY CAMPYLOBACTER
86631,ANTIBODY CHLAMYDIA
86632,ANTIBODY CHLAMYDIA IGM
